id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
4Hhv2vrOTy89HFRcjU3QOx,At Last,77,179693,0,['Etta James'],['0iOVhN3tnSvgDbcg25JoJb'],1960,0.274,0.348,5,-8.631,1,0.0293,0.547,0.0133,0.334,0.328,87.43,3
3SdTKo2uVsxFblQjpScoHy,Stand by Me,79,180056,0,['Ben E. King'],['3plJVWt88EqjvtuB4ZDRV3'],1962-08-20,0.65,0.306,9,-9.443,1,0.0393,0.57,7.07e-06,0.0707,0.605,118.068,4
745H5CctFr12Mo7cqa1BMH,My Girl,80,165000,0,['The Temptations'],['3RwQ26hR2tJtA8F9p2n7jG'],1965-03-22,0.572,0.418,0,-10.738,1,0.0349,0.635,0.0,0.0961,0.694,104.566,4
6Rqn2GFlmvmV4w9Ala0I1e,Feeling Good,75,174000,0,['Nina Simone'],['7G1GBhoKtEPnP86X2PvEYO'],1965-06-01,0.399,0.326,7,-9.239,0,0.0386,0.864,0.0,0.191,0.546,79.206,4
3AhXZa8sUQht0UEdBJgpGc,Like a Rolling Stone,75,369600,0,['Bob Dylan'],['74ASZWbe4lXaubB36ztrGX'],1965-08-30,0.483,0.721,0,-6.836,1,0.032,0.729,0.0,0.189,0.562,95.261,4
3yrSvpt2l1xhsV9Em88Pul,Brown Eyed Girl,80,183307,0,['Van Morrison'],['44NX2ffIYHr6D4n7RaZF7A'],1967-09,0.491,0.583,7,-10.964,1,0.0376,0.182,0.0,0.407,0.907,150.572,4
1JO1xLtVc8mWhIoE3YaCL0,Happy Together,75,176293,0,['The Turtles'],['2VIoWte1HPDbZ2WqHd2La7'],1967,0.584,0.367,6,-9.638,0,0.0328,0.55,1.38e-05,0.0818,0.588,120.175,4
7s25THrKz86DM225dOYwnr,Respect,75,147600,0,['Aretha Franklin'],['7nwUJBm0HE4ZxD3f5cy5ok'],1967-03-10,0.805,0.558,0,-5.226,1,0.041,0.164,2.2e-05,0.0546,0.965,114.95,4
2aoo2jlRnM3A0NyLQqMN2f,All Along the Watchtower,79,240800,0,['Jimi Hendrix'],['776Uo845nYHJpNaStv1Ds4'],1968-10-25,0.438,0.805,8,-6.237,1,0.0624,0.00255,5.69e-05,0.0842,0.564,113.253,4
3NfxSdJnVdon1axzloJgba,I Say a Little Prayer,77,216773,0,['Aretha Franklin'],['7nwUJBm0HE4ZxD3f5cy5ok'],1968-06-14,0.592,0.355,9,-14.051,1,0.0352,0.478,0.0,0.0585,0.499,133.032,4
4BP3uh0hFLFRb5cjsgLqDh,Fortunate Son,83,140773,0,['Creedence Clearwater Revival'],['3IYUhFvPQItj6xySrBmZkd'],1969-11-02,0.64,0.663,0,-7.516,1,0.0374,0.201,0.00806,0.152,0.663,132.77,4
62AuGbAkt8Ox2IrFFb8GKV,Sweet Caroline,79,203573,0,['Neil Diamond'],['7mEIug7XUlQHikrFxjTWes'],1969-06-06,0.529,0.127,11,-16.066,1,0.0274,0.611,0.000109,0.237,0.578,63.05,4
20OFwXhEXf12DzwXmaV7fj,Bad Moon Rising,79,141600,0,['Creedence Clearwater Revival'],['3IYUhFvPQItj6xySrBmZkd'],1969-08-03,0.508,0.774,2,-5.973,1,0.0321,0.0586,4.87e-06,0.063,0.942,178.946,4
5LxvwujISqiB8vpRYv887S,I Want You Back,77,176333,0,['The Jackson 5'],['2iE18Oxc8YSumAU232n4rW'],1969-12-18,0.469,0.538,8,-13.559,1,0.0571,0.305,0.00012,0.37,0.886,196.605,4
6H3kDe7CGoWYBabAeVWGiD,Gimme Shelter,76,270773,0,['The Rolling Stones'],['22bE4uQ6baNwSHPVcDxLCe'],1969-12-05,0.634,0.63,1,-8.277,0,0.031,0.447,0.039,0.17,0.489,118.628,4
0jvN7eQJJt4nxQzgQfZ1SP,Spirit In The Sky,76,242893,0,['Norman Greenbaum'],['7f8LNBVXN0h35veHrpxQFL'],1969-01-01,0.609,0.617,9,-7.091,1,0.0307,0.0994,0.00404,0.118,0.543,128.903,4
38zsOOcu31XbbYj9BIPUF1,Your Song,80,241787,0,['Elton John'],['3PhoLpVuITZKcymswpck5b'],1970-04-10,0.554,0.315,3,-11.028,1,0.0298,0.828,5.53e-06,0.101,0.325,128.157,4
2LawezPeJhN4AWuSB0GtAU,Have You Ever Seen The Rain,79,160133,0,['Creedence Clearwater Revival'],['3IYUhFvPQItj6xySrBmZkd'],1970-12-07,0.741,0.697,0,-7.028,1,0.0277,0.0664,2.28e-05,0.133,0.774,116.109,4
1jzDzZWeSDBg5fhNc3tczV,Paranoid,78,168440,0,['Black Sabbath'],['5M52tdBnJaKSvOpJGz8mfZ'],1970-09-18,0.429,0.631,4,-11.514,0,0.0769,7.85e-05,0.00411,0.175,0.376,162.734,4
7mjSHL2Eb0kAwiKbvNNyD9,Wild World,77,200560,0,['Yusuf / Cat Stevens'],['08F3Y3SctIlsOEmKd6dnH8'],1970-11-23,0.48,0.542,0,-8.51,1,0.0348,0.345,0.000609,0.113,0.567,152.853,4
2kkvB3RNRzwjFdGhaUA0tz,Layla,75,423840,0,['Derek & The Dominos'],['2rc78XDH9zuJP6bm78lU8Z'],1970-11-01,0.404,0.902,1,-3.88,1,0.0665,0.577,0.297,0.287,0.497,115.669,4
6QhXQOpyYvbpdbyjgAqKdY,Cecilia,75,174827,0,['Simon & Garfunkel'],['70cRZdQywnSFp9pnc2WTCE'],1970-01-26,0.755,0.876,0,-8.867,1,0.0362,0.357,5.17e-06,0.22,0.954,102.762,4
476V2d6iA2tWXgQboKmTtA,Father And Son,75,221120,0,['Yusuf / Cat Stevens'],['08F3Y3SctIlsOEmKd6dnH8'],1970-11-23,0.495,0.326,7,-12.29,1,0.0365,0.541,8.85e-05,0.0996,0.371,136.243,4
2TVxnKdb3tqe1nhQWwwZCO,Tiny Dancer,80,377093,0,['Elton John'],['3PhoLpVuITZKcymswpck5b'],1971-11-05,0.414,0.428,0,-11.097,1,0.0278,0.382,0.000243,0.148,0.282,145.075,4
1fDsrQ23eTAVFElUMaf38X,American Pie,76,516893,0,['Don McLean'],['1gRNBaI4yn6wCCTvRhGWh8'],1971,0.531,0.481,4,-11.709,0,0.06,0.699,0.0,0.0842,0.491,138.45,4
54eZmuggBFJbV7k248bTTt,A Horse with No Name,78,252240,0,"['America', 'George Martin']","['35U9lQaRWSQISxQAB94Meo', '0tcbedGX7n5UHrMhVsGmIU']",1972,0.654,0.506,11,-17.18,0,0.0535,0.686,0.0155,0.155,0.831,123.179,4
7Ar4G7Ci11gpt6sfH9Cgz5,Listen to the Music,77,227267,0,['The Doobie Brothers'],['39T6qqI0jDtSWWioX8eGJz'],1972,0.645,0.598,1,-13.18,0,0.0335,0.221,3.53e-06,0.0721,0.913,105.929,4
5p3JunprHCxClJjOmcLV8G,Walk On the Wild Side,76,254173,0,['Lou Reed'],['42TFhl7WlMRXiNqzSrnzPL'],1972-12-01,0.575,0.318,0,-16.729,1,0.109,0.683,0.000202,0.0934,0.385,104.522,4
5MxNLUsfh7uzROypsoO5qe,Dream On,79,266960,0,['Aerosmith'],['7Ey4PD4MYsKc5I2dolUwbH'],1973-01-05,0.307,0.433,1,-10.057,1,0.029,0.388,9.08e-05,0.332,0.224,160.9,4
1bp2IO61zbQrbWNmKKxg3f,The Joker,77,264504,0,['Steve Miller Band'],['6QtGlUje9TIkLrgPZrESuk'],1973-01-01,0.596,0.448,5,-9.616,1,0.0396,0.365,5.3e-06,0.206,0.796,83.293,4
70C4NyhjD5OZUMzvWZ3njJ,Piano Man,77,339000,0,['Billy Joel'],['6zFYqv1mOsgBRQbae3JJ9e'],1973-11-07,0.331,0.55,0,-6.483,1,0.0272,0.605,3.96e-06,0.192,0.429,177.734,3
6Ac4NVYYl2U73QiTt11ZKd,Hooked on a Feeling,77,172867,0,"['Blue Swede', 'Björn Skifs']","['0UpuH5U4nZ3UGGUJi0Zfbp', '1Ek3VdZ8EPmcvgRIqnHlrF']",1973,0.547,0.82,8,-6.728,1,0.0805,0.261,0.0,0.3,0.933,118.208,4
1GcVa4jFySlun4jLSuMhiq,Angie,75,272000,0,['The Rolling Stones'],['22bE4uQ6baNwSHPVcDxLCe'],1973-08-31,0.429,0.554,9,-6.128,0,0.0291,0.67,0.000152,0.105,0.407,136.302,4
7e89621JPkKaeDSTQ3avtg,Sweet Home Alabama,83,283800,0,['Lynyrd Skynyrd'],['4MVyzYMgTwdP7Z49wAZHx0'],1974-04-15,0.596,0.605,7,-12.145,1,0.0255,0.181,0.000331,0.0863,0.886,97.798,4
5ihS6UUlyQAfmp48eSkxuQ,Landslide,79,199493,0,['Fleetwood Mac'],['08GQAI4eElDnROBrJRGE0X'],1975-07-11,0.414,0.161,7,-22.32,0,0.0318,0.883,0.000223,0.117,0.423,159.375,4
6mFkJmJqdDVQ1REhVfGgd1,Wish You Were Here,77,334744,0,['Pink Floyd'],['0k17h0D3J5VfsdmQ1iZtE9'],1975-09-12,0.481,0.262,7,-15.73,1,0.0414,0.735,0.0114,0.832,0.375,122.883,4
5SZ6zX4rOrEQferfFC2MfP,Walk This Way,77,220400,0,['Aerosmith'],['7Ey4PD4MYsKc5I2dolUwbH'],1975-04-08,0.653,0.73,5,-10.613,1,0.043,0.0114,1.03e-05,0.0754,0.894,108.705,4
24NwBd5vZ2CK8VOQVnqdxr,Sweet Emotion,76,274133,0,['Aerosmith'],['7Ey4PD4MYsKc5I2dolUwbH'],1975-04-08,0.38,0.76,9,-10.961,1,0.0378,0.00298,0.0294,0.104,0.491,99.437,4
6KTv0Z8BmVqM7DPxbGzpVC,Rock And Roll All Nite,76,168840,0,['KISS'],['07XSN3sPlIlB2L2XNcTwJw'],1975-03-19,0.654,0.929,1,-5.906,1,0.0998,0.0468,0.0,0.0539,0.902,144.774,4
2TxCwUlqaOH3TIyJqGgR91,Mamma Mia,76,213267,0,['ABBA'],['0LcJLqbBmaGUft1e9Mm8HV'],1975,0.749,0.748,2,-7.011,1,0.0323,0.295,0.000443,0.469,0.827,137.547,4
0GjEhVFGZW8afUYGChu3Rr,Dancing Queen,81,230400,0,['ABBA'],['0LcJLqbBmaGUft1e9Mm8HV'],1976,0.543,0.87,9,-6.514,1,0.0428,0.358,0.000939,0.792,0.754,100.804,4
1QEEqeFIZktqIpPI4jSVSF,More Than a Feeling,80,285133,0,['Boston'],['29kkCKKGXheHuoO829FxWK'],1976,0.377,0.682,7,-8.039,1,0.0299,0.000894,0.00217,0.0504,0.288,108.736,4
